Feature full name,Feature Id,Number of sections,Section length,Description
accelerationX,AAX,8,128,accelerationXValues
accelerationX,AAY,8,128,accelerationYValues
accelerationX,AAZ,8,128,accelerationZValues
accelEnergy128X,E7X,2,1,accelEnergy128XValues
accelEnergy128Y,E7Y,2,1,accelEnergy128YValues
accelEnergy128Z,E7Z,2,1,accelEnergy128ZValues
accelPower128X,P7X,2,1,accelPower128XValues
accelPower128Y,P7Y,2,1,accelPower128YValues
accelPower128Z,P7Z,2,1,accelPower128ZValues
accelRMS128X,A7X,2,1,accelRMS128XValues
accelRMS128Y,A7Y,2,1,accelRMS128YValues
accelRMS128Z,A7Z,2,1,accelRMS128ZValues
accelEnergy128Total,E73,8,1,accelEnergy128TotalValues
accelPower128Total,P73,8,1,accelPower128TotalValues
accelRMS128Total,A73,8,1,accelRMS128TotalValues
accelEnergy512X,E9X,2,1,accelEnergy512XValues
accelEnergy512Y,E9Y,2,1,accelEnergy512YValues
accelEnergy512Z,E9Z,2,1,accelEnergy512ZValues
accelPower512X,P9X,2,1,accelPower512XValues
accelPower512Y,P9Y,2,1,accelPower512YValues
accelPower512Z,P9Z,2,1,accelPower512ZValues
accelRMS512X,A9X,2,1,accelRMS512XValues
accelRMS512Y,A9Y,2,1,accelRMS512YValues
accelRMS512Z,A9Z,2,1,accelRMS512ZValues
accelEnergy512Total,E93,2,1,accelEnergy512TotalValues
accelPower512Total,P93,2,1,accelPower512TotalValues
accelRMS512Total,A93,2,1,accelRMS512TotalValues
Q15Feature accelReducedFFTX,FAX,2,50,accelReducedFFTXValues
Q15Feature accelReducedFFTY,FAY,2,50,accelReducedFFTYValues
Q15Feature accelReducedFFTZ,FAZ,2,50,accelReducedFFTZValues
velocityAmplitude512X,VVX,2,1,velocityAmplitude512XValues
velocityAmplitude512Y,VVY,2,1,velocityAmplitude512YValues
velocityAmplitude512Z,VVZ,2,1,velocityAmplitude512ZValues
velocityRMS512X,VAX,2,1,velocityRMS512XValues
velocityRMS512Y,VAY,2,1,velocityRMS512YValues
velocityRMS512Z,VAZ,2,1,velocityRMS512ZValues
displacementAmplitude512X,DVX,2,1,displacementAmplitude512XValues
displacementAmplitude512Y,DVY,2,1,displacementAmplitude512YValues
displacementAmplitude512Z,DVZ,2,1,displacementAmplitude512ZValues
displacementRMS512X,DAX,2,1,displacementRMS512XValues
displacementRMS512Y,DAX,2,1,displacementRMS512YValues
displacementRMS512Z,DAZ,2,1,displacementRMS512ZValues
temperature,TMP,2,1,temperatureValues
pressure,PRS,2,1,pressureValues
Q15Feature audio,SND,4,2048,audioValues
audioDB2048,S11,4,1,audioDB2048Values
audioDB4096,S12,2,1,audioDB4096Value
accelEnergy512Total,E93,2,1,accelEnergy512TotalValues
accelPower512Total,P93,2,1,accelPower512TotalValues
accelRMS512Total,A93,2,1,accelRMS512TotalValues
accelEnergy128Total,E73,2,1,accelEnergy128TotalValues
accelPower128Total,P73,2,1,accelPower128TotalValues
accelRMS128Total,A73,2,1,accelRMS128TotalValues
