-108,-116,2136
-104,-128,2408
-60,-116,2520
-24,-104,2532
0,-68,2384
4,-28,2132
0,-32,1876
-40,-28,1540
-68,-36,1420
-96,-56,1452
-116,-96,1604
-116,-104,1844
-120,-108,2120
-88,-108,2344
-88,-124,2512
-24,-84,2508
-12,-80,2436
12,-36,2212
8,-32,1916
8,-24,1684
-32,-40,1472
-48,-52,1404
-92,-56,1468
-124,-96,1676
-128,-120,1928
-116,-128,2192
-100,-128,2420
-48,-108,2556
-40,-104,2536
0,-52,2372
16,-56,2132
20,-16,1868
-12,-32,1632
-48,-32,1460
-76,-68,1464
-140,-100,1616
-124,-108,1848
-128,-108,2148
-100,-120,2396
-68,-124,2544
-40,-92,2532
-8,-64,2416
4,-52,2188
20,-40,1912
-4,-40,1644
-20,-48,1472
-76,-44,1404
-92,-80,1488
-120,-92,1672
-132,-96,1932
-108,-112,2240
-96,-132,2452
-52,-116,2540
-16,-88,2520
-4,-72,2372
12,-44,2124
0,-32,1868
0,-40,1600
-60,-44,1460
-72,-56,1412
-100,-84,1520
-108,-116,1916
-120,-120,2168
-96,-116,2408
-56,-124,2544
-16,-88,2516
-8,-68,2396
8,-40,2192
20,-28,1892
-4,-24,1660
-36,-36,1448
-64,-52,1396
-92,-64,1492
-124,-104,1676
-140,-112,1932
-120,-136,2200
-84,-120,2408
-44,-96,2500
-40,-88,2480
20,-80,2308
20,-40,2068
4,-40,1784
-20,-32,1544
-40,-36,1404
-80,-56,1388
-100,-80,1500
-120,-112,1740
-120,-108,1996
-108,-132,2292
-56,-112,2516
-28,-96,2476
8,-72,2368
12,-44,2140
8,-36,1876
-20,-24,1616
-32,-44,1448
-68,-48,1400
-108,-72,1500
-124,-100,1704
-128,-136,1948
-108,-132,2236
-96,-128,2436
-36,-80,2528
-20,-72,2500
20,-68,2300
12,-40,2072
8,-20,1804
4,-36,1568
-52,-40,1428
-80,-56,1420
-124,-68,1548
-116,-116,1792
-120,-116,2048
-116,-128,2320
-80,-116,2496
-52,-92,2524
-20,-80,2464
12,-64,2140
8,-40,1880
-16,-16,1596
-40,-56,1456
-80,-68,1428
-112,-84,1512
-120,-88,1736
-120,-116,1988
-104,-120,2260
-88,-132,2460
-44,-100,2540
-12,-96,2488
-4,-48,2324
20,-40,2068
16,-28,1784
-28,-32,1588
-40,-40,1428
-64,-60,1440
-116,-84,1568
-116,-100,1808
-124,-132,2104
-112,-128,2320
-48,-108,2476
-44,-84,2536
-8,-68,2476
12,-52,2236
12,-48,2000
-4,-20,1592
-40,-40,1456
-72,-32,1424
-112,-72,1520
-112,-100,1736
-132,-132,2024
-108,-112,2288
-80,-120,2472
-72,-100,2544
-20,-100,2488
4,-64,2296
8,-28,2052
12,-24,1776
-16,-52,1548
-48,-48,1444
-76,-64,1432
-104,-92,1576
-112,-100,1828
-116,-120,2100
-104,-124,2332
-60,-92,2508
-28,-88,2560
12,-72,2472
16,-48,2220
4,-32,1972
0,-24,1688
-28,-44,1492
-56,-40,1388
-108,-80,1496
-124,-104,1728
-120,-108,2024
-104,-124,2268
-76,-116,2456
-60,-96,2512
-12,-72,2448
0,-32,2240
8,-36,1984
4,-24,1720
-16,-32,1500
-40,-40,1392
-92,-72,1388
-120,-72,1564
-116,-96,1812
-112,-116,2092
-104,-124,2344
-88,-104,2508
-40,-96,2520
4,-56,2428
0,-56,2208
12,-44,1928
-8,-48,1672
-28,-48,1484
-64,-40,1420
-108,-80,1484
-112,-80,1632
-128,-112,2056
-116,-124,2288
-72,-108,2484
-44,-96,2552
-16,-68,2456
8,-48,2276
8,-48,1992
8,-40,1716
-40,-44,1524
-40,-36,1412
-104,-68,1432
-112,-88,1600
-132,-112,1868
-124,-128,2128
-108,-116,2364
-64,-124,2524
-32,-88,2556
-12,-72,2408
20,-48,2192
12,-40,1928
4,-24,1668
-20,-48,1500
-68,-40,1408
-104,-76,1480
-136,-96,1656
-136,-116,1940
-116,-100,2200
-92,-140,2440
-32,-92,2552
-12,-72,2460
16,-32,2268
20,-36,1996
8,-36,1712
-28,-36,1500
-64,-36,1424
-84,-76,1448
-120,-84,1628
-128,-104,1884
-116,-120,2144
-92,-120,2372
-52,-116,2536
-48,-88,2532
-12,-80,2412
24,-48,2176
16,-20,1872
0,-24,1652
-16,-36,1480
-68,-48,1428
-84,-68,1496
-124,-108,1680
-116,-132,1956
